Rank,Name,Score,Finish Time ,Q1 (2),Q2 (4),Q3 (5),Q4 (6)
1,hank55663  ,17,0:11:54, 0:04:12, 0:03:03, 0:10:32, 0:11:54
2,emthrm  ,17,0:12:30, 0:02:59, 0:04:24, 0:08:48, 0:12:30
3,kmjp  ,17,0:13:22, 0:03:13, 0:03:35, 0:10:11, 0:13:22
4,py-is-best-lang  ,17,0:13:55, 0:01:10, 0:03:27, 0:09:20, 0:13:55
5,qingczha  ,17,0:14:25, 0:14:25, 0:14:04, 0:11:51, 0:03:39
6,pku_erutan  ,17,0:16:11, 0:00:33, 0:01:53, 0:16:11, 0:10:08
7,wery0  ,17,0:16:57, 0:16:48, 0:16:57, 0:16:37, 0:16:18
8,Yawn_Sean  ,17,0:17:02, 0:16:54, 0:17:02, 0:16:35, 0:16:41
9,yaobig-2  ,17,0:17:08, 0:01:17, 0:04:46, 0:11:28, 0:17:08
10,cuiaoxiang  ,17,0:17:52, 0:01:00, 0:03:35, 0:11:16, 0:17:52
11,youtube_aryanc403  ,17,0:17:53, 0:01:50, 0:04:09, 0:10:14, 0:17:53
12,fmota  ,17,0:18:02, 0:01:24, 0:03:32, 0:10:34, 0:18:02
13,flashmt  ,17,0:18:15, 0:02:27, 0:07:36, 0:14:10, 0:18:15
14,n124345679976  ,17,0:18:16, 0:04:01, 0:04:22, 0:13:18, 0:18:16
15,paigulong  ,17,0:18:33, 0:00:59, 0:04:29, 0:13:26, 0:18:33
16,xuxiaohu  ,17,0:18:52, 0:18:52, 0:18:42, 0:18:33, 0:18:28
17,ethanrao  ,17,0:19:26, 0:15:10, 0:15:29, 0:19:26, 0:14:43
18,gradesking  ,17,0:19:56, 0:00:37, 0:03:03  1, 0:10:46, 0:14:56
19,lichen-7i  ,17,0:20:19, 0:00:54, 0:02:57, 0:20:19, 0:15:49
20,han3000  ,17,0:20:23, 0:01:03, 0:03:29, 0:12:14, 0:20:23
21,FransV  ,17,0:20:37, 0:05:32, 0:05:27, 0:14:33, 0:20:37
22,numb3r5  ,17,0:20:58, 0:15:26, 0:15:58  1, 0:15:28, 0:15:24
23,Ujimatsu_Chiya  ,17,0:21:01, 0:00:51, 0:03:30  1, 0:10:56, 0:16:01
24,admiring-shockleyzns  ,17,0:21:13, 0:01:05, 0:03:34, 0:11:22, 0:21:13
25,shik  ,17,0:21:13, 0:03:10, 0:06:32, 0:13:59, 0:21:13
26,SaveVMK  ,17,0:21:28, 0:02:05, 0:05:02, 0:16:25, 0:21:28
27,SR3mix  ,17,0:21:30, 0:18:48, 0:21:30, 0:18:35, 0:19:27
28,infallible-i3anach5b9  ,17,0:21:47, 0:09:57, 0:09:44, 0:09:39, 0:16:47  1
29,tiger2005  ,17,0:22:09, 0:01:04, 0:02:17, 0:07:00, 0:17:09  1
30,Ruiko  ,17,0:22:15, 0:00:40, 0:08:37, 0:15:37, 0:22:15
31,tonghuikang  ,17,0:22:54, 0:01:29, 0:03:31, 0:18:31, 0:22:54
32,harryB17  ,17,0:23:14, 0:02:37, 0:06:43, 0:17:46, 0:23:14
33,skywalkert  ,17,0:23:40, 0:07:34, 0:07:22, 0:16:46, 0:23:40
34,DylanSmith  ,17,0:23:43, 0:01:30, 0:05:10, 0:10:55, 0:23:43
35,tsreaper  ,17,0:23:46, 0:01:01, 0:03:05, 0:13:53, 0:23:46
36,ajinkya1p3  ,17,0:23:48, 0:01:32, 0:04:44, 0:15:13, 0:23:48
37,Andrew-Angrew  ,17,0:24:32, 0:03:21, 0:04:51, 0:24:32, 0:16:42
38,taoz-kc  ,17,0:24:46, 0:01:00, 0:03:25, 0:15:39, 0:24:46
39,Wizard_of_Orz  ,17,0:25:19, 0:03:16, 0:05:38  1, 0:14:40, 0:20:19
40,moransky  ,17,0:25:29, 0:01:41, 0:06:23  1, 0:10:12, 0:15:29  1
